username,timestamp,content,replies,retweets,likes,mentions,hashtags,permalink,source_tag
NiftyNerve,2026-01-07T11:34:00.000Z,"IIntraday trading is not about prediction, it’s about preparation and discipline. If you want structured NIFTY insights daily, join free http:// t.me/NiftyNerve #Nifty #Sensex #Nifty50 #StockMarket #NiftyAnalysis #PriceAction #BankNifty #NiftyCharts #MarketUpdates #NiftyTrading",0,0,0,[],"['#nifty' '#sensex' '#nifty50' '#stockmarket' '#niftyanalysis'
 '#priceaction' '#banknifty' '#niftycharts' '#marketupdates'
 '#niftytrading']",/NiftyNerve/status/2008864692559827247,#nifty50
Singhal_Rahul_,2026-01-07T11:33:53.000Z,Not gonna happen in this budget. But a serious question..why income from #StockMarketIndia is not respected like any salaried/business income hence we see the inferior treatment to this section. I invest my own capital and time to earn profits basis my detailed working #Nifty50,0,0,0,[],['#stockmarketindia' '#nifty50'],/Singhal_Rahul_/status/2008864662906192268,#nifty50
icfm_institute,2026-01-07T11:32:43.000Z,"Market breadth negative with 1,100 pts off Sensex in 3 days. Heavyweights dragging while mid/smallcaps hold relatively better. Rotation accelerating. #DalalStreet #Nifty50 #Midcaps #RiskOff",0,0,0,[],['#dalalstreet' '#nifty50' '#midcaps' '#riskoff'],/icfm_institute/status/2008864370005352959,#nifty50
industry_wired,2026-01-07T11:30:01.000Z,"Stock Market Today: Sensex Slips 170 Points to Trade Near 84,200 #IndianStockMarket #Nifty50 #Sensex #StockMarketToday #MarketUpdate Read More https:// industrywired.com/stocks/stock-m arket-today-sensex-slips-170-points-to-trade-near-84200-10978806 ...",0,0,0,[],"['#indianstockmarket' '#nifty50' '#sensex' '#stockmarkettoday'
 '#marketupdate']",/industry_wired/status/2008863689143943185,#nifty50
BMS_MONEY,2026-01-07T11:30:00.000Z,Value of ₹1 Lakh in 3Y - Technology Funds (31-Dec-2025) https:// bmsmoney.com/eng/mutual-fun d/top-performing-technology-fund ... #MutualFunds #MutualFundsSahiHai #nifty50 #NiftyIT #sensex #India #technologyfund,0,0,0,[],"['#mutualfunds' '#mutualfundssahihai' '#nifty50' '#niftyit' '#sensex'
 '#india' '#technologyfund']",/BMS_MONEY/status/2008863687088435294,#nifty50
SanjeevResearch,2026-01-07T11:27:52.000Z,"Follow for market insights, key updates #Nifty50 #SENSEX #Titan #Relianceindustry #Maruti",0,0,0,[],['#nifty50' '#sensex' '#titan' '#relianceindustry' '#maruti'],/SanjeevResearch/status/2008863149601218699,#nifty50
rupeesmedia,2026-01-07T11:23:54.000Z,#MarketAtClose #Sensex #Nifty50 #Niftybank #MarketClosing #MeraBudgetMeriAwaaz,0,0,0,[],"['#marketatclose' '#sensex' '#nifty50' '#niftybank' '#marketclosing'
 '#merabudgetmeriawaaz']",/rupeesmedia/status/2008862152158056512,#nifty50
CapitalMarket17,2026-01-07T10:59:38.000Z,Sensex Slumps 307 Pts: Realty and Auto Stocks Drag Market Below Key Supports Like | Share | Follow | Comment For Daily Updates. https:// capitalmarket.com #Sensex #Nifty50 #StockMarketIndia #RealtyStocks #AutoSector #MarketCorrection #DalalStreet #Investing #BSE #NSE #FinancialNews,0,0,1,[],"['#sensex' '#nifty50' '#stockmarketindia' '#realtystocks' '#autosector'
 '#marketcorrection' '#dalalstreet' '#investing' '#bse' '#nse'
 '#financialnews']",/CapitalMarket17/status/2008856043049349236,#nifty50
manusharma331,2026-01-07T10:58:49.000Z,Jane Street wapis aao mazaak nhi hai ab ye #Nifty50 #sensex #expiry #trading #Investing,0,0,0,[],['#nifty50' '#sensex' '#expiry' '#trading' '#investing'],/manusharma331/status/2008855838144999923,#nifty50
Bagambar_Singh,2026-01-07T10:58:09.000Z,Booked BTST Trade in sensex. Done for the day... Avoiding intraday traders... #Nifty50 #optionbuying,0,1,1,[],['#nifty50' '#optionbuying'],/Bagambar_Singh/status/2008855670578446551,#nifty50
Nandi_Trading,2026-01-07T10:55:47.000Z,#NIFTY50 and #NIFTYBANK levels for tomorrow 8/1/2025 Har Har Mahadev! Nandi Trading Academy,0,0,0,[],['#nifty50' '#niftybank'],/Nandi_Trading/status/2008855076744601673,#nifty50
Mani24240,2026-01-07T10:53:47.000Z,#ITC Monthly hidden bullish and div in 1 hr Trend change ? Or 350-360 ? Just for educational and learning purposes #Nifty50,0,0,1,[],['#itc' '#nifty50'],/Mani24240/status/2008854571377189168,#nifty50
Nandi_Trading,2026-01-07T10:50:48.000Z,#NIFTY50 trading scenario for today 7/1/2026 Har Har Mahadev! Nandi Trading Academy #OptionsTrading #optiontrading,0,0,0,[],['#nifty50' '#optionstrading' '#optiontrading'],/Nandi_Trading/status/2008853823138451844,#nifty50
NiftyNerve,2026-01-07T10:49:01.000Z,Sideways markets destroy emotions faster than trending days. Learn how to survive chop and protect capital. Join free http:// t.me/NiftyNerve #Nifty #Sensex #Nifty50 #StockMarket #NiftyAnalysis #PriceAction #BankNifty #NiftyCharts #MarketUpdates #NiftyTrading #HeroZero,0,0,0,[],"['#nifty' '#sensex' '#nifty50' '#stockmarket' '#niftyanalysis'
 '#priceaction' '#banknifty' '#niftycharts' '#marketupdates'
 '#niftytrading' '#herozero']",/NiftyNerve/status/2008853372485709856,#nifty50
BazaarInsider,2026-01-07T10:48:59.000Z,NIFTY view for 8 Jan #Nifty50,0,0,0,[],['#nifty50'],/BazaarInsider/status/2008853366588551171,#nifty50
anontrader55,2026-01-07T10:42:00.000Z,"December statistics All trades were purely directional, executed only in NIFTY & MIDCAP futures. #Nifty #Nifty50 #Sensex #SEBI #OptionTrading #Trading #Trader #NiftyFutures #StockMarket #NSE #Stocks #Algo",0,0,0,[],"['#nifty' '#nifty50' '#sensex' '#sebi' '#optiontrading' '#trading'
 '#trader' '#niftyfutures' '#stockmarket' '#nse' '#stocks' '#algo']",/anontrader55/status/2008851606432084200,#nifty50
BMS_MONEY,2026-01-07T10:30:00.000Z,Value of ₹1 Lakh in 3Y - Quant Funds (31-Dec-2025) https:// bmsmoney.com/eng/mutual-fun d/top-performing-quant-fund ... #MutualFunds #MutualFundsSahiHai #nifty50 #NiftyIT #sensex #India #quantfund,0,0,0,[],"['#mutualfunds' '#mutualfundssahihai' '#nifty50' '#niftyit' '#sensex'
 '#india' '#quantfund']",/BMS_MONEY/status/2008848587120381992,#nifty50
MaitraWealth,2026-01-07T10:26:01.000Z,TOP 5 GAINERS & LOSERS IN NIFTY 50 #maitrawealth #nifty50,0,0,0,[],['#maitrawealth' '#nifty50'],/MaitraWealth/status/2008847584417251413,#nifty50
Mrmandal146,2026-01-07T10:17:11.000Z,The trade missed by few points #nifty50,1,0,8,[],['#nifty50'],/Mrmandal146/status/2008845360031285312,#nifty50
raveenderrohit7,2026-01-07T10:15:48.000Z,Today's Portfolio 07/01/2026 #Nifty #Nifty50 #Sensex #Banknifty #OptionsTrading #StockMarketIndia #KalyanJewellers #Titan,0,0,0,[],"['#nifty' '#nifty50' '#sensex' '#banknifty' '#optionstrading'
 '#stockmarketindia' '#kalyanjewellers' '#titan']",/raveenderrohit7/status/2008845014198255804,#nifty50
IndianStockEco,2026-01-07T10:14:53.000Z,Market Closing (07 Jan 2026) #Nifty #Nifty50 #StockMarketIndia #SENSEX #SmallCaps,0,0,0,[],['#nifty' '#nifty50' '#stockmarketindia' '#sensex' '#smallcaps'],/IndianStockEco/status/2008844781196329160,#nifty50
Rajkuma39432174,2026-01-07T10:13:16.000Z,Nifty 50 – Top Gainers & Losers | 07 Jan 2026 #Nifty50 #TopGainers #TopLosers #StockMarketIndia #MarketUpdate #EquityMarket #DailyMarket #TradingDay #MoneyPulse #marketnews,0,0,0,[],"['#nifty50' '#topgainers' '#toplosers' '#stockmarketindia' '#marketupdate'
 '#equitymarket' '#dailymarket' '#tradingday' '#moneypulse' '#marketnews']",/Rajkuma39432174/status/2008844374986437115,#nifty50
THENANI_06,2026-01-07T10:10:36.000Z,"Top 3 Indian Shares by Wealth & Share Price Reliance Industries Market Cap: ~₹20 lakh crore Share Price: ~₹2,500 TCS Market Cap: ~₹14 lakh crore Share Price: ~₹3,800 HDFC Bank Market Cap: ~₹11 lakh crore Share Price: ~₹1,500 #stocks #Nifty50",0,0,0,[],['#stocks' '#nifty50'],/THENANI_06/status/2008843705990713818,#nifty50
2712marine,2026-01-07T10:09:55.000Z,No positions today. Can I interest you in a meme? #NoTradeDay #VerifiedBySensibull https:// verified.sensibull.com/ps/beaded-bee/ 81fREHYQHRl0Wo ... No Trade Day! #Nifty50 #Sensex #StockMarket #Banknifty #OptionsTrading #Zerodha #OptionsByRahul,0,0,5,[],"['#notradeday' '#verifiedbysensibull' '#nifty50' '#sensex' '#stockmarket'
 '#banknifty' '#optionstrading' '#zerodha' '#optionsbyrahul']",/2712marine/status/2008843535286710333,#nifty50
VanshajKeshar05,2026-01-07T10:07:07.000Z,Today's F&O Heatmap . . . #Sensex #Nifty50 #BankNifty #FinanceIndia #IndianInvestor,0,0,2,[],['#sensex' '#nifty50' '#banknifty' '#financeindia' '#indianinvestor'],/VanshajKeshar05/status/2008842826998800643,#nifty50
Fib_trade,2026-01-07T10:04:43.000Z,Day - 5 Gross Profit - 17304 Charges - 14757.71 #Nifty #Nifty50 #optiontrading #sensex,0,0,0,[],['#nifty' '#nifty50' '#optiontrading' '#sensex'],/Fib_trade/status/2008842224633815236,#nifty50
BusinessTimesIn,2026-01-07T10:02:17.000Z,"Sensex Today | European Indices Mixed; US Futures Steady Global cues remain uneven · Dow Futures ▲0.2%, signaling mild support · Europe mixed: FTSE ▼0.5%, CAC ▼0.2% · DAX ▲0.7%, bucking the trend #GlobalMarkets #Sensex #Nifty50 #BTMarkets",1,0,0,[],['#globalmarkets' '#sensex' '#nifty50' '#btmarkets'],/BusinessTimesIn/status/2008841614350065693,#nifty50
SHAREMARKET11,2026-01-07T09:59:39.000Z,Nifty 50: Sector-wise Gainers & Losers in 2025 #BhartiShareMarket #Nifty50 #SectorAnalysis #StockMarket2026 #MarketTrends #SectorRotation #SmartInvesting #WealthCreation #EquityMarket #IndianStockMarket #FinancialEducation #InvestWithKnowledge,0,0,0,[],"['#bhartisharemarket' '#nifty50' '#sectoranalysis' '#stockmarket2026'
 '#markettrends' '#sectorrotation' '#smartinvesting' '#wealthcreation'
 '#equitymarket' '#indianstockmarket' '#financialeducation'
 '#investwithknowledge']",/SHAREMARKET11/status/2008840949078917536,#nifty50
MarketGPS,2026-01-07T09:50:08.000Z,https:// youtube.com/watch?v=f0Elra eRrZE&t=924s ... #NIFTY50,0,0,1,[],['#nifty50'],/MarketGPS/status/2008838555301478446,#nifty50
kenbitcom,2026-01-07T09:47:13.000Z,#StockMarket #Nifty #Nifty50 #sensex #OptionTrading #BankNifty #zeebusiness #stockstowatch,0,0,0,[],"['#stockmarket' '#nifty' '#nifty50' '#sensex' '#optiontrading'
 '#banknifty' '#zeebusiness' '#stockstowatch']",/kenbitcom/status/2008837822485307552,#nifty50
nextipoindia,2026-01-07T09:45:01.000Z,What ITR Forms Reveal About Investing Choices of Gen Z and Millennials https:// nextipoindia.com/itr-forms-inve sting-choices-gen-z-millennials ... #IndianStockMarket #Nifty50 #Sensex #BSE #NSE #InvestIndia #ShareMarket #EquityMarket #News,0,0,0,[],"['#indianstockmarket' '#nifty50' '#sensex' '#bse' '#nse' '#investindia'
 '#sharemarket' '#equitymarket' '#news']",/nextipoindia/status/2008837266957828531,#nifty50
BusinessTimesIn,2026-01-07T09:37:11.000Z,"Sensex Today | Markets@3: Sensex Slips 197 Pts Sensex at 84,866 ▼197 pts (-0.23%) Nifty below 26,150 at 26,129 ▼0.19% Market breadth weak: 1,790 ▲ | 2,023 ▼ | 136 = #Sensex #Nifty50 #StockMarketIndia #BTMarkets",1,0,0,['@3'],['#sensex' '#nifty50' '#stockmarketindia' '#btmarkets'],/BusinessTimesIn/status/2008835297124164013,#nifty50
NiftyNerve,2026-01-07T09:36:00.000Z,"Every move in the market has a reason. Volume, momentum, and market structure often hint at the next swing. Learning to interpret these signals is more valuable than guessing: http:// t.me/NiftyNerve #Nifty #Sensex #Nifty50 #StockMarket #NiftyAnalysis #PriceAction #BankNifty",0,0,0,[],"['#nifty' '#sensex' '#nifty50' '#stockmarket' '#niftyanalysis'
 '#priceaction' '#banknifty']",/NiftyNerve/status/2008834996736516574,#nifty50
FXmidterm,2026-01-07T09:35:02.000Z,Kis ko gali dey diyie? The trading Gods? Thy told you to buy sona chaandi. #nifty50,0,0,2,[],['#nifty50'],/FXmidterm/status/2008834754058276934,#nifty50
bratman09,2026-01-07T09:34:38.000Z,Previous trade out with 30 pts. Later make high of 50 pts. Again enter 26150PE. Will hold till weekend. Volumes are less so price movement is slow. #TradeLikeMagnet #Nifty50 #NiftyBank #Sensex #NiftyMidCapSelect #Bankex,0,0,0,[],"['#tradelikemagnet' '#nifty50' '#niftybank' '#sensex' '#niftymidcapselect'
 '#bankex']",/bratman09/status/2008834654124871837,#nifty50
GargAcademy,2026-01-07T09:33:13.000Z,Sensex Expiry Plan || Market Kitna Aur Down Aayega || Nifty Kon Se Level... https:// youtu.be/XphinU9qO2E?si =pO3j22LnTFdrb0KQ ... via @YouTube #nifty #nifty50 #StockMarketIndia #stocknews @pharmastock #itstock,0,0,0,['@YouTube' '@pharmastock'],['#nifty' '#nifty50' '#stockmarketindia' '#stocknews' '#itstock'],/GargAcademy/status/2008834299152478448,#nifty50
NiveshMantr,2026-01-07T09:28:16.000Z,https:// t.me/TheStockMarket Retailers/2310 ... #NIFTY50 MOVED 45 POINTS DOWN BUT IN #Scalping 10 TO 15 POINTS IS ENOUGH SO MY GROUP MEMBERS CAUGHT 10 POINTS SMOOTHLY IN PE #PUTS #OptionsTrading #StockMarketIndia #nifty,0,0,0,[],"['#nifty50' '#scalping' '#puts' '#optionstrading' '#stockmarketindia'
 '#nifty']",/NiveshMantr/status/2008833050151735406,#nifty50
